sample_id,region,site,lat,lon,site_type,transect,site_category,depth,replicate,PO4,NH4,NO3.NO2,NO2,NO3
NUTS_#028,Dampier,Arborek,-0.5658881,130.5195259,reef,transect,village,5,r1,0.136,20.58,2.596,0.163,2.433
NUTS_#029,Dampier,Arborek,-0.5658881,130.5195259,reef,transect,village,5,tr,0.117,31.28,2.921,0.222,2.699
NUTS_#030,Dampier,Arborek,-0.5658881,130.5195259,reef,transect,village,10,r1,0.307,71.94,3.38,0.449,2.927
NUTS_#031,Dampier,Arborek,-0.5658881,130.5195259,reef,transect,village,10,tr,0.097,0.7,1.12,0.078,1.043
NUTS_#032,Dampier,Arborek,-0.5658881,130.5195259,reef,none,village,0,r1,0.067,1.28,0.48,0.041,0.442
NUTS_#033,Dampier,Arborek,-0.5658881,130.5195259,reef,none,village,0,tr,0.064,5.79,0.57,0.04,0.532
NUTS_#223,MisoolSouth,EpiCity,-2.248598,130.5666,reef,transect2,,5,r1,0.213,4.92,2.914,0.195,2.719
NUTS_#224,MisoolSouth,EpiCity,-2.248598,130.5666,reef,transect2,,5,tr,0.062,1.24,0.358,0.037,0.321
NUTS_#225,MisoolSouth,EpiCity,-2.248598,130.5666,reef,transect1,,10,r1,0.086,0.16,0.363,0.013,0.35
NUTS_#226,MisoolSouth,EpiCity,-2.248598,130.5666,reef,transect1,healthy,10,tr,0.199,5.4,1.56,0.221,1.339
NUTS_#048,Dampier,GracesWall,-0.6084588,130.5796969,reef,transect,healthy,5,r1,0.139,12.68,1.4,0.104,1.296
NUTS_#049,Dampier,GracesWall,-0.6084588,130.5796969,reef,transect,healthy,5,tr,0.117,0.92,1.42,0.083,1.334
NUTS_#050,Dampier,GracesWall,-0.6084588,130.5796969,reef,transect,healthy,10,r1,0.187,27.92,1.99,0.13,1.857
NUTS_#051,Dampier,GracesWall,-0.6084588,130.5796969,reef,transect,healthy,10,tr,0.125,0.78,1.41,0.079,1.332
NUTS_#154,MisoolNorth,HarapanJaya,-2.0427898,130.4095605,reef,none,village,0,r1,0.24,106.4,1.999,0.369,1.63
NUTS_#155,MisoolNorth,HarapanJaya,-2.0427898,130.4095605,reef,none,,0,tr,0.072,1.01,0.628,0.073,0.555
NUTS_#156,MisoolNorth,HarapanJaya,-2.0427898,130.4095605,reef,none,,0,r1,0.104,5.39,0.383,0.066,0.317
NUTS_#157,MisoolNorth,HarapanJaya,-2.0427898,130.4095605,reef,none,,0,tr,0.077,24.44,0.348,0.072,0.276
NUTS_#068,MisoolNorth,Kajerepop,-2.0305314,130.3842319,reef,none,village,0,r1,0.053,13.26,0.54,0.063,0.478
NUTS_#069,MisoolNorth,Kajerepop,-2.0305314,130.3842319,reef,none,,0,tr,0.053,1.43,0.49,0.055,0.435
NUTS_#070,MisoolNorth,Kajerepop,-2.0305314,130.3842319,reef,none,,2,r1,0.063,2.66,0.54,0.061,0.478
NUTS_#071,MisoolNorth,Kajerepop,-2.0305314,130.3842319,reef,none,,2,tr,0.065,2.39,0.53,0.061,0.464
NUTS_#072,MisoolNorth,Kajerepop,-2.0305314,130.3842319,reef,none,,0,r1,0.049,5.84,0.49,0.05,0.437
NUTS_#073,MisoolNorth,Kajerepop,-2.0305314,130.3842319,reef,none,,0,tr,0.09,11.95,0.56,0.048,0.507
NUTS_#211,MisoolSouth,KaligNorth,-2.218742,130.5384,reef,transect2,,5,r1,0.041,0.38,0.111,0.005,0.106
NUTS_#212,MisoolSouth,KaligNorth,-2.218742,130.5384,reef,transect2,,5,tr,0.127,3.44,1.541,0.091,1.45
NUTS_#213,MisoolSouth,KaligNorth,-2.218742,130.5384,reef,transect1,,10,r1,0.102,0.43,0.986,0.021,0.965
NUTS_#214,MisoolSouth,KaligNorth,-2.218742,130.5384,reef,transect1,,10,tr,0.164,12.79,2.956,0.307,2.649
NUTS_#215,MisoolSouth,KaligRHM,-2.219572,130.5473,reef,transect2,,5,r1,0.102,0.13,0.426,0.018,0.408
NUTS_#216,MisoolSouth,KaligRHM,-2.219572,130.5473,reef,transect2,,5,tr,0.165,16.14,2.732,0.18,2.552
NUTS_#217,MisoolSouth,KaligRHM,-2.219572,130.5473,reef,transect1,,10,r1,0.15,5.41,2.125,0.132,1.993
NUTS_#218,MisoolSouth,KaligRHM,-2.219572,130.5473,reef,transect1,,10,tr,0.082,4.26,1.119,0.235,0.884
NUTS_#024,Dampier,LumbaLumba,-0.5644414,130.6666718,reef,transect,village,10,r1,0.095,0.64,0.736,0.051,0.685
NUTS_#025,Dampier,LumbaLumba,-0.5644414,130.6666718,reef,transect,village,10,tr,0.082,0.68,0.747,0.05,0.697
NUTS_#026,Dampier,LumbaLumba,-0.5644414,130.6666718,reef,transect,village,5,r1,0.114,0.62,1.342,0.083,1.259
NUTS_#027,Dampier,LumbaLumba,-0.5644414,130.6666718,reef,transect,village,5,tr,0.126,0.83,1.334,0.083,1.251
NUTS_#146,MisoolNorth,mangrove,-2.0078722,130.3956849,reef,none,other,0,r1,0.111,15.1,1.025,0.197,0.828
NUTS_#147,MisoolNorth,mangrove,-2.0078722,130.3956849,reef,none,,0,tr,0.111,9.84,0.992,0.192,0.8
NUTS_#148,MisoolNorth,mangrove,-2.0078722,130.3956849,reef,none,,0,r1,0.105,3,0.979,0.184,0.795
NUTS_#149,MisoolNorth,mangrove,-2.0078722,130.3956849,reef,none,,0,tr,0.093,0.88,0.977,0.182,0.795
NUTS_#231,MisoolSouth,MERBay,-2.2191,130.547958,reef,none,resort,0,r1,0.17,2.16,2.535,0.109,2.426
NUTS_#232,MisoolSouth,MERBay,-2.2191,130.547958,reef,none,resort,0,tr,0.209,7.65,5.16,0.14,5.02
NUTS_#227,MisoolSouth,MERHR,-2.242692,130.5557,reef,transect2,resort,5,r1,0.091,0.2,0.159,0.01,0.149
NUTS_#228,MisoolSouth,MERHR,-2.242692,130.5557,reef,transect2,resort,5,tr,0.124,0.78,0.489,0.025,0.464
NUTS_#229,MisoolSouth,MERStaffHQ,-2.24271,130.5544,reef,transect1,resort,10,r1,0.091,0.2,0.184,0.009,0.175
NUTS_#230,MisoolSouth,MERStaffHQ,-2.24271,130.5544,reef,transect1,resort,10,tr,0.091,0.21,0.148,0.006,0.142
NUTS_#233,MisoolSouth,MERVilla,-2.244428,130.55625,reef,none,resort,0,r1,0.145,0.76,0.889,0.058,0.831
NUTS_#234,MisoolSouth,MERVilla,-2.244428,130.55625,reef,none,resort,0,tr,0.141,5.41,1.599,0.414,1.185
NUTS_#235,MisoolSouth,MERWorkshop,-2.24162,130.5507,reef,none,resort,0,r1,0.1,0.26,0.223,0.011,0.212
NUTS_#236,MisoolSouth,MERWorkshop,-2.24162,130.5507,reef,none,resort,0,tr,0.058,0.49,0.215,0.029,0.186
NUTS_#044,Dampier,MiosKon,-0.497327,130.727396,reef,transect,open_reef,5,r1,0.111,0.46,0.93,0.105,0.825
NUTS_#045,Dampier,MiosKon,-0.497327,130.727396,reef,transect,open_reef,5,tr,0.129,0.69,0.91,0.104,0.809
NUTS_#046,Dampier,MiosKon,-0.497327,130.727396,reef,transect,open_reef,10,r1,0.127,0.66,1.26,0.119,1.136
NUTS_#047,Dampier,MiosKon,-0.497327,130.727396,reef,transect,open_reef,10,tr,0.148,17.91,1.12,0.121,0.996
NUTS_#052,MisoolNorth,MIS01,-1.9835,130.51658,lake,center,medium,0,r1,0.006,0.6,0.51,0.041,0.473
NUTS_#053,MisoolNorth,MIS01,-1.9835,130.51658,lake,center,,0,tr,0.005,3.67,0.53,0.041,0.487
NUTS_#054,MisoolNorth,MIS01,-1.9835,130.51658,lake,transect1,,1,r1,0.002,9.11,1.04,0.121,0.92
NUTS_#055,MisoolNorth,MIS01,-1.9835,130.51658,lake,transect1,,1,tr,0.001,5.87,0.85,0.119,0.732
