"","Location","region","Habitat","lat","lon","depth","DIN","mean_chlora","mean_temp"
"1","Arborek","Dampier","reef",-0.5658881,130.5195259,5,2.24205838885111,-0.0887156353283439,-0.317275052848407
"2","EpiCity","MisoolSouth","reef",-2.248598,130.5666,7.5,-0.56003982374534,-0.841911928508043,0.0503898658361093
"3","GracesWall","Dampier","reef",-0.6084588,130.5796969,7.5,0.572589318226765,1.1691686063052,-1.96595402688763
"4","KaligNorth","MisoolSouth","reef",-2.218742,130.5384,7.5,-0.355055454665009,-0.722750294844973,-0.746204335579591
"5","KaligRHM","MisoolSouth","reef",-2.219572,130.5473,7.5,-0.00709457775788244,-0.561175557671426,-0.13501552781346
"6","LumbaLumba","Dampier","reef",-0.5644414,130.6666718,7.5,-0.917964969686271,1.20094011433799,-0.578248942268792
"7","MERBay","MisoolSouth","reef",-2.2191,130.547958,0,0.0885337308111549,-0.650546150997639,-0.447279571948381
"8","MERHR","MisoolSouth","reef",-2.242692,130.5557,5,-1.04961518609334,-0.833124371267685,-0.434779185786901
"9","MERStaffHQ","MisoolSouth","reef",-2.24271,130.5544,10,-1.11312844051026,-0.809584469854733,-0.0214627470630105
"10","MIS06","MisoolNorth","lake",-1.95438,130.42694,2,1.95602771402639,0.00361255446153671,2.20430397374102
"11","MIS23","MisoolNorth","lake",-1.97861,130.48303,1,0.457211685061948,0.677788756875438,1.37383350966918
"12","MIS26","MisoolNorth","lake",-1.99513,130.56277,2.25,0.809491606640202,0.262552538225871,1.12105342815685
"13","MIS27","MisoolNorth","lake",-2.00222,130.6284,1,-0.902946880746831,2.94869243585223,0.853126609036966
"14","MiosKon","Dampier","reef",-0.497327,130.727396,7.5,-0.308424109294575,0.117931012638732,-0.193867991117434
"15","NewReef","Dampier","reef",-0.54313,130.693149,5,1.31069792331004,-0.292676084531709,-1.21790244832735
"16","Sabenibnu","MisoolSouth","reef",-2.172635,130.6076,5,-0.30100467156077,-0.852292180970244,0.954203640100104
"17","SoridoBay","Dampier","reef",-0.5558377,130.687022,7.5,1.12331231716352,1.17823985439391,-1.4094169926454
"18","SouthKri","Dampier","reef",-0.55871,130.6878067,7.5,-0.664019480101703,0.588306328092522,0.952675803756979
"19","WarakaketN","MisoolSouth","reef",-2.245255,130.5872,7.5,-0.760508013335529,-0.847145742269722,-0.0739631617072787
"20","Yellit","MisoolSouth","reef",-2.189025,130.6001,7.5,-0.885742387451052,-0.879140143912425,-0.563111212221982
"21","Yenbuba","Dampier","reef",-0.5698323,130.657546,7.5,-0.734378689142565,-0.768169641026488,0.594894365918492
