date,time,depth,pressure,Temperature.CTD,Conductivity,Salinity,Sound.Velocity,Density,Chl-a,lat.CTD,lon.CTD,region,island,site_type,site,lat.GPS,lon.GPS,data_set,dist.people,connection
14/04/2023,09:11.0,0.105,0.105,33.211,39.28,21.093,1537.812,1010.253,77.827,-0.5884516,130.597,Dampier,Mansuar,lake,RAJ04,-0.58975,130.59555,yes,0.001946367,0.07
14/04/2023,09:12.2,0.205,0.206,33.21,39.275,21.09,1537.809,1010.252,2.232,-0.5884516,130.597,Dampier,Mansuar,lake,RAJ04,-0.58975,130.59555,yes,0.001946367,0.07
14/04/2023,09:12.4,0.311,0.313,33.206,39.292,21.102,1537.815,1010.262,7.046,-0.5884516,130.597,Dampier,Mansuar,lake,RAJ04,-0.58975,130.59555,yes,0.001946367,0.07
14/04/2023,09:12.7,0.403,0.405,33.204,39.271,21.09,1537.8,1010.255,0.517,-0.5884516,130.597,Dampier,Mansuar,lake,RAJ04,-0.58975,130.59555,yes,0.001946367,0.07
14/04/2023,09:14.3,0.499,0.502,33.198,39.323,21.123,1537.825,1010.282,1.048,-0.5884516,130.597,Dampier,Mansuar,lake,RAJ04,-0.58975,130.59555,yes,0.001946367,0.07
14/04/2023,09:14.5,0.603,0.607,33.202,39.327,21.124,1537.836,1010.282,1.475,-0.5884516,130.597,Dampier,Mansuar,lake,RAJ04,-0.58975,130.59555,yes,0.001946367,0.07
14/04/2023,09:14.8,0.706,0.71,33.203,39.323,21.122,1537.837,1010.28,21.663,-0.5884516,130.597,Dampier,Mansuar,lake,RAJ04,-0.58975,130.59555,yes,0.001946367,0.07
14/04/2023,09:15.1,0.804,0.808,33.198,39.312,21.117,1537.823,1010.279,24.846,-0.5884516,130.597,Dampier,Mansuar,lake,RAJ04,-0.58975,130.59555,yes,0.001946367,0.07
14/04/2023,09:15.6,0.895,0.9,33.2,39.311,21.116,1537.827,1010.278,14.239,-0.5884516,130.597,Dampier,Mansuar,lake,RAJ04,-0.58975,130.59555,yes,0.001946367,0.07
14/04/2023,09:16.2,1.002,1.008,33.199,39.305,21.112,1537.824,1010.276,2.513,-0.5884516,130.597,Dampier,Mansuar,lake,RAJ04,-0.58975,130.59555,yes,0.001946367,0.07
