"","Location","region","Habitat","lat","lon","depth","PO4","DIN","mean_chlora","mean_temp"
"1","Arborek","Dampier","reef",-0.5658881,130.5195259,5,0.131333333333333,23.7731666666667,1.20648717948718,29.9759566929134
"2","EpiCity","MisoolSouth","reef",-2.248598,130.5666,7.5,0.14,4.22875,0.312470588235294,30.1388705882353
"3","GracesWall","Dampier","reef",-0.6084588,130.5796969,7.5,0.142,12.12875,2.69955,29.24542
"4","HarapanJaya","MisoolNorth","reef",-2.0427898,130.4095605,0,0.12325,35.1495,1.24853898458749,29.6264452736318
"5","Kajerepop","MisoolNorth","reef",-2.0305314,130.3842319,0.666666666666667,0.0621666666666667,6.77783333333333,2.69586994219653,30.1300864197531
"6","KaligNorth","MisoolSouth","reef",-2.218742,130.5384,7.5,0.1085,5.6585,0.453911111111111,29.7858962962963
"7","KaligRHM","MisoolSouth","reef",-2.219572,130.5473,7.5,0.12475,8.0855,0.645694444444444,30.0567166666667
"8","LumbaLumba","Dampier","reef",-0.5644414,130.6666718,7.5,0.10425,1.73225,2.73726162387231,29.8603180482069
"9","MERBay","MisoolSouth","reef",-2.2191,130.547958,0,0.1895,8.7525,0.53961480235492,29.9183511354079
"10","MERHR","MisoolSouth","reef",-2.242692,130.5557,5,0.1075,0.814,0.322901098901099,29.9238901098901
"11","MERStaffHQ","MisoolSouth","reef",-2.24271,130.5544,10,0.091,0.371,0.350842105263158,30.107032388664
"12","MERWorkshop","MisoolSouth","reef",-2.24162,130.5507,0,0.079,0.594,0.342678082191781,29.9707602739726
"13","MIS01","MisoolNorth","lake",-1.9835,130.51658,1.75,0.002125,5.10175,1.99784347826087,31.0108685121107
"14","MIS06","MisoolNorth","lake",-1.95438,130.42694,2,0.15625,21.778125,1.31607738095238,31.0932791262136
"15","MIS14","MisoolNorth","lake",-1.95663,130.39644,2.25,0.015125,8.503625,2.37738009049774,35.9393369175627
"16","MIS17","MisoolNorth","lake",-1.9385,130.37397,1.75,0.011125,2.239625,4.8606265060241,32.0682076271186
"17","MIS20","MisoolNorth","lake",-1.95147,130.37086,2,0.013,3.990125,11.8487467105263,31.6675436408978
"18","MIS23","MisoolNorth","lake",-1.97861,130.48303,1,0.179125,11.324,2.1163,30.7252941176471
"19","MIS26","MisoolNorth","lake",-1.99513,130.56277,2.25,0.1075,13.781125,1.6234297188755,30.6132861842105
"20","MIS27","MisoolNorth","lake",-2.00222,130.6284,1,0.068875,1.837,4.81178002894356,30.4945666666667
"21","MIS31","MisoolSouth","lake",-2.220897,130.5264,2.5,0.12675,3.85975,4.7448515625,31.1286328125
"22","MIS40","MisoolSouth","lake",-2.220715,130.533,1.6,0.30025,5.27025,1.87040833333333,30.339475
"23","MIS40-Lagoon","MisoolSouth","lagoon",-2.220845,130.53,1.925,0.155875,1.89475,0.433838709677419,29.9157258064516
"24","MiosKon","Dampier","reef",-0.497327,130.727396,7.5,0.12875,5.98375,1.45176923076923,30.0306388888889
"25","NewReef","Dampier","reef",-0.54313,130.693149,5,0.3665,17.277,0.964393548387097,29.5768848484848
"26","RAJ04","Dampier","lake",-0.58975,130.59555,1.25,0.010375,6.1725,1.15687943262411,33.3978526315789
"27","RAJ13","Dampier","lake",-0.44166,130.68558,1.375,0.04325,1.641125,6.32651612903226,31.7134067164179
"28","Sabenibnu","MisoolSouth","reef",-2.172635,130.6076,5,0.277,6.0355,0.300149606299213,30.5393543307087
"29","SoridoBay","Dampier","reef",-0.5558377,130.687022,7.5,0.18925,15.97,2.71031724137931,29.4920239361702
"30","SouthKri","Dampier","reef",-0.55871,130.6878067,7.5,0.166,3.5035,2.01008761329305,30.5386773399015
"31","UsahaJaya","MisoolNorth","reef",-1.9884982,130.4203772,0,0.1275,2.2645,2.78469727891156,29.9227437774524
"32","WAR03","MisoolSouth","lake",-2.248055,130.5746,3.26,0.0376,6.0166,4.64451219512195,31.7586926829268
"33","WarakaketN","MisoolSouth","reef",-2.245255,130.5872,7.5,0.08375,2.8305,0.306258241758242,30.0837692307692
"34","Yellit","MisoolSouth","reef",-2.189025,130.6001,7.5,0.104,1.957,0.268282051282051,29.8670256410256
"35","Yellu","MisoolNorth","reef",-2.0565949,130.4131247,0,0.05275,7.0485,0.979501677852349,29.5197029548989
"36","Yenbuba","Dampier","reef",-0.5698323,130.657546,7.5,0.1045,3.01275,0.4,30.3801428571429
"37","mangrove","MisoolNorth","reef",-2.0078722,130.3956849,0,0.105,8.19825,2.01616877637131,29.7627763157895
