seqid;Location;Habitat;Benthic group
25029_e1100135109_NBCLAB24140_R23_SED_004_VHP11p18_D2_A01;New Reef;Reef;hard coral dominated
25029_e1100135121_NBCLAB24141_R23_SED_005_VHP11p18_D2_B01;New Reef;Reef;hard coral dominated
25029_e1100135133_NBCLAB24142_R23_SED_006_VHP11p18_D2_C01;New Reef;Reef;hard coral dominated
25029_e1100135145_NBCLAB24143_R23_SED_007_VHP11p18_D2_D01;New Reef;Reef;hard coral dominated
25029_e1100135157_NBCLAB24144_R23_SED_008_VHP11p18_D2_E01;Yenbuba;Reef;hard coral dominated
25029_e1100135074_NBCLAB24145_R23_SED_009_VHP11p18_D2_F01;Yenbuba;Reef;hard coral dominated
25029_e1100135086_NBCLAB24146_R23_SED_010_VHP11p18_D2_G01;Yenbuba;Reef;hard coral dominated
25029_e1100135098_NBCLAB24147_R23_SED_011_VHP11p18_D2_H01;Yenbuba;Reef;hard coral dominated
25029_e1100135110_NBCLAB24148_R23_SED_012_VHP11p18_D2_A02;Yenbuba;Reef;hard coral dominated
25029_e1100135122_NBCLAB24149_R23_SED_013_VHP11p18_D2_B02;LumbaLumba;Reef;soft coral dominated
25029_e1100135134_NBCLAB24150_R23_SED_014_VHP11p18_D2_C02;LumbaLumba;Reef;soft coral dominated
25029_e1100135146_NBCLAB24151_R23_SED_015_VHP11p18_D2_D02;LumbaLumba;Reef;soft coral dominated
25029_e1100135158_NBCLAB24152_R23_SED_016_VHP11p18_D2_E02;LumbaLumba;Reef;soft coral dominated
25029_e1100135075_NBCLAB24153_R23_SED_017_VHP11p18_D2_F02;Arborek;Reef;soft coral dominated
25029_e1100135087_NBCLAB24154_R23_SED_018_VHP11p18_D2_G02;Arborek;Reef;soft coral dominated
25029_e1100135099_NBCLAB24155_R23_SED_019_VHP11p18_D2_H02;Arborek;Reef;soft coral dominated
25029_e1100135111_NBCLAB24156_R23_SED_020_VHP11p18_D2_A03;Arborek;Reef;soft coral dominated
25029_e1100135123_NBCLAB24157_R23_SED_021_VHP11p18_D2_B03;Arborek;Reef;soft coral dominated
25029_e1100135135_NBCLAB24158_R23_SED_022_VHP11p18_D2_C03;South kri;Reef;hard coral dominated
25029_e1100135147_NBCLAB24159_R23_SED_023_VHP11p18_D2_D03;South kri;Reef;hard coral dominated
25029_e1100135159_NBCLAB24160_R23_SED_024_VHP11p18_D2_E03;South kri;Reef;hard coral dominated
25029_e1100135076_NBCLAB24161_R23_SED_025_VHP11p18_D2_F03;South kri;Reef;hard coral dominated
25029_e1100135088_NBCLAB24162_R23_SED_026_VHP11p18_D2_G03;South kri;Reef;hard coral dominated
25029_e1100135100_NBCLAB24163_R23_SED_027_VHP11p18_D2_H03;Mioskin;Reef;hard coral dominated
25029_e1100135112_NBCLAB24164_R23_SED_028_VHP11p18_D2_A04;Mioskin;Reef;hard coral dominated
25029_e1100135124_NBCLAB24165_R23_SED_029_VHP11p18_D2_B04;Mioskin;Reef;hard coral dominated
25029_e1100135136_NBCLAB24166_R23_SED_030_VHP11p18_D2_C04;Mioskin;Reef;hard coral dominated
25029_e1100135148_NBCLAB24167_R23_SED_031_VHP11p18_D2_D04;Mioskin;Reef;hard coral dominated
25029_e1100135160_NBCLAB24168_R23_SED_032_VHP11p18_D2_E04;Sorido Bay;Reef;macro-algae & hard coral
