"","NMDS1","NMDS2","otu","pval"
"Otu0001",-0.0218606193048522,0.252059478683152,"Otu0001",0.001
"Otu0004",0.534807460930698,-0.257895630150401,"Otu0004",0.001
"Otu0006",-0.234345110809694,-0.0882559887188258,"Otu0006",0.001
"Otu0061",-0.332089732971562,-0.24514724659806,"Otu0061",0.001
"Otu0140",-0.179764410805141,-0.186153553281265,"Otu0140",0.001
"Otu0233",-0.554256450951895,-0.178604679680179,"Otu0233",0.001
"Otu0263",-0.300471907944067,-0.194625324161937,"Otu0263",0.001
"Otu0363",-0.544165569302366,-0.100837283597368,"Otu0363",0.001
"Otu0452",-0.406497244811474,-0.0963079726950271,"Otu0452",0.001
"Otu0673",0.154094149264292,0.532131119568521,"Otu0673",0.001
"Otu0710",0.207272142399681,0.47147848805697,"Otu0710",0.001
"Otu0770",-0.187308899597515,0.359908209618856,"Otu0770",0.001
"Otu0810",1.05791492709296,-0.384562373377286,"Otu0810",0.001
"Otu0935",0.15062362843202,0.771461732509842,"Otu0935",0.001
"Otu1092",0.128498878127281,0.671945909140697,"Otu1092",0.001
"Otu1231",0.951724716655191,-0.533973449983995,"Otu1231",0.001
"Otu1247",0.3886840276196,1.07107179602706,"Otu1247",0.001
"Otu1300",-0.139813221877629,0.35030534247097,"Otu1300",0.001
"Otu1643",0.14243677959858,0.487608449928183,"Otu1643",0.001
"Otu1860",-0.161780394247947,0.271529070389424,"Otu1860",0.001
"Otu1864",0.168946104513774,0.573116512052116,"Otu1864",0.001
"Otu2129",0.161645145131918,0.542764881908379,"Otu2129",0.001
"Otu2523",0.134439246436861,0.598427862310644,"Otu2523",0.001
"Otu2786",0.118120095042716,0.539604489705265,"Otu2786",0.001
"Otu3142",1.10031447410576,-0.514948030015786,"Otu3142",0.001
"Otu3215",0.159403757936941,0.560969416398276,"Otu3215",0.001
"Otu3469",0.411516456171364,0.555899433629533,"Otu3469",0.001
