"","NMDS1","NMDS2","otu","pval"
"Otu0001",0.316947646426105,0.264181608118568,"Otu0001",0.001
"Otu0002",-0.462827105918956,0.53639166962778,"Otu0002",0.001
"Otu0007",0.42019397720418,0.375598339585806,"Otu0007",0.001
"Otu0014",0.869362916690874,0.674471472503876,"Otu0014",0.001
"Otu0016",0.494423294779317,-0.192332050901484,"Otu0016",0.001
"Otu0030",0.146005648886834,-0.167215121213679,"Otu0030",0.001
"Otu0041",0.0387793167351353,-0.186131139694369,"Otu0041",0.001
"Otu0050",0.424390353796123,-0.253665087547581,"Otu0050",0.001
"Otu0054",-0.297104004413057,-0.103040903228233,"Otu0054",0.001
"Otu0062",1.14772741246188,-0.254302364009074,"Otu0062",0.001
"Otu0065",0.29863065140836,-0.110308630461244,"Otu0065",0.001
"Otu0066",-0.489744484880877,-0.235728893103127,"Otu0066",0.001
"Otu0067",-0.308375002443058,-0.096952483870441,"Otu0067",0.001
"Otu0099",-0.261183776577821,-0.0853961088097003,"Otu0099",0.001
"Otu0121",-0.0930424899165247,-0.222353806025631,"Otu0121",0.001
"Otu0129",-0.225754220458715,-0.110741138283156,"Otu0129",0.001
"Otu0130",0.799598779275007,0.6000896629774,"Otu0130",0.001
"Otu0131",0.747022871101225,0.768484856786351,"Otu0131",0.001
"Otu0133",-0.242792294355483,-0.146699227121636,"Otu0133",0.001
"Otu0136",0.441817751853322,-0.00284375106835537,"Otu0136",0.001
"Otu0140",-0.325749406349512,-0.10418554170192,"Otu0140",0.001
"Otu0143",0.232644658214762,-0.143101241557485,"Otu0143",0.001
"Otu0150",-0.260205316734473,-0.186272874082135,"Otu0150",0.001
"Otu0157",1.23640635592238,-0.237255506531895,"Otu0157",0.001
"Otu0159",1.20203821391074,-0.341304302545271,"Otu0159",0.001
"Otu0170",0.15762773483892,-0.224944539879803,"Otu0170",0.001
"Otu0173",0.795599770503114,0.601985745580321,"Otu0173",0.001
"Otu0175",-0.566643327245585,-0.153724349012101,"Otu0175",0.001
"Otu0177",0.742665179492168,-0.200016113926577,"Otu0177",0.001
"Otu0185",-0.604879181316704,-0.222600712304374,"Otu0185",0.001
"Otu0193",0.237892086832602,-0.187180653656795,"Otu0193",0.001
"Otu0212",0.665580779049211,-0.013947138925753,"Otu0212",0.001
"Otu0230",-0.143240574301204,-0.277722170371581,"Otu0230",0.001
"Otu0232",-0.38589376794788,0.0209481468193116,"Otu0232",0.001
"Otu0241",0.356298690070457,-0.22180584966585,"Otu0241",0.001
"Otu0245",1.12862538979563,-0.263177177280461,"Otu0245",0.001
"Otu0250",-0.104694751884519,-0.357112498224995,"Otu0250",0.001
"Otu0257",0.948817449847052,0.763873304041776,"Otu0257",0.001
"Otu0296",1.33189868776378,-0.249838872424931,"Otu0296",0.001
"Otu0298",1.3925079166244,-0.399268464078328,"Otu0298",0.001
"Otu0299",1.4273468929094,-0.455877667935628,"Otu0299",0.001
"Otu0301",-0.185455728439595,-0.243208564819335,"Otu0301",0.001
"Otu0303",-0.338310547393013,-0.216797454621743,"Otu0303",0.001
"Otu0344",-0.221758531195832,-0.244653524362173,"Otu0344",0.001
"Otu0351",-0.237233157407791,-0.24037608951358,"Otu0351",0.001
"Otu0372",-0.253786999761855,-0.123338576387382,"Otu0372",0.001
"Otu0392",0.812675122910716,0.618627827383605,"Otu0392",0.001
"Otu0406",-0.274699573542813,-0.286564902617881,"Otu0406",0.001
"Otu0408",1.41042980713945,-0.425546331705496,"Otu0408",0.001
"Otu0413",-0.228730959271332,-0.23914627559479,"Otu0413",0.001
"Otu0431",0.861201042350455,0.654994030461549,"Otu0431",0.001
"Otu0451",1.41353944561921,-0.436548978123888,"Otu0451",0.001
"Otu0474",0.279747691969471,-0.19155126440034,"Otu0474",0.001
"Otu0486",0.653015854576319,-0.0619187577094043,"Otu0486",0.001
"Otu0497",0.908582130758926,0.151165269969739,"Otu0497",0.001
"Otu0500",-0.401762286418934,-0.167450798125109,"Otu0500",0.001
"Otu0510",-0.113839606740769,-0.504855413716489,"Otu0510",0.001
"Otu0514",0.926956779284745,-0.393201330298672,"Otu0514",0.001
"Otu0549",1.28176652315101,-0.279461794763211,"Otu0549",0.001
"Otu0575",0.863493961540747,0.645448405930522,"Otu0575",0.001
