"","dbRDA1","dbRDA2","pval","otu"
"Otu0001",0.454500820639843,0.673682664899748,0.001,"Otu0001"
"Otu0004",0.116398761963226,-0.842636574697683,0.001,"Otu0004"
"Otu0007",0.394815373643127,0.653557888979498,0.001,"Otu0007"
"Otu0028",-0.670814565222066,0.396615930067467,0.001,"Otu0028"
"Otu0056",0.397982176270716,0.663844292710123,0.001,"Otu0056"
"Otu0057",-0.644337501196029,0.555272849589895,0.001,"Otu0057"
"Otu0061",-0.826823591904843,0.135315987472788,0.001,"Otu0061"
"Otu0233",-0.747894891912058,0.403104135976864,0.001,"Otu0233"
"Otu0363",-0.670567001614672,0.486091083922911,0.001,"Otu0363"
"Otu0405",-0.701765660235163,0.296445268955639,0.001,"Otu0405"
"Otu0452",-0.700282018262245,0.408526474854067,0.001,"Otu0452"
"Otu0935",0.700456088706522,0.438804274262287,0.001,"Otu0935"
"Otu0965",-0.525051115622298,0.266018724930892,0.001,"Otu0965"
"Otu1231",-0.00545597915770984,-0.828209152631602,0.001,"Otu1231"
"Otu1300",0.353618477532142,0.775159783165612,0.001,"Otu1300"
"Otu2129",0.768050263366786,0.335788085546812,0.001,"Otu2129"
