"","dbRDA1","dbRDA2","pval","otu"
"Otu0002",-0.234769726083577,-0.54364189535969,0.001,"Otu0002"
"Otu0006",0.554972634029161,-0.0739419667712951,0.001,"Otu0006"
"Otu0025",-0.374703540607462,-0.153089478971077,0.001,"Otu0025"
"Otu0032",0.381442312525024,0.16168679728457,0.001,"Otu0032"
"Otu0036",-0.347873759120757,-0.123009415481872,0.001,"Otu0036"
"Otu0047",0.61317451570398,-0.0069506933542668,0.001,"Otu0047"
"Otu0048",0.49582018790483,0.00637512525863533,0.001,"Otu0048"
"Otu0054",0.429447345421886,0.157817979863822,0.001,"Otu0054"
"Otu0058",0.497917192492645,-0.181925404823836,0.001,"Otu0058"
"Otu0062",-0.479154473021267,-0.129667330245802,0.001,"Otu0062"
"Otu0067",0.462550553430072,0.0222933430252516,0.001,"Otu0067"
"Otu0069",0.559377476008753,0.0392368330923367,0.001,"Otu0069"
"Otu0076",0.415718008090748,-0.019935959804413,0.001,"Otu0076"
"Otu0088",0.429110243909834,-0.0138113317123991,0.001,"Otu0088"
"Otu0128",0.463244488749872,0.0712486834798556,0.001,"Otu0128"
"Otu0129",0.554196758446728,0.112178220184994,0.001,"Otu0129"
"Otu0133",0.460486670124959,0.207777164733587,0.001,"Otu0133"
"Otu0146",-0.323495256362596,-0.123356440191675,0.001,"Otu0146"
"Otu0157",-0.469574828812849,-0.191820158435525,0.001,"Otu0157"
"Otu0159",-0.424966427050192,-0.157133754313692,0.001,"Otu0159"
"Otu0194",0.416219994128381,-0.037447335698516,0.001,"Otu0194"
"Otu0222",0.461037680840861,-0.0712770649821262,0.001,"Otu0222"
"Otu0230",0.580122171059126,0.0269097929186116,0.001,"Otu0230"
"Otu0245",-0.442382128301605,-0.136658177644724,0.001,"Otu0245"
"Otu0296",-0.429469896071337,-0.17464316278181,0.001,"Otu0296"
"Otu0298",-0.406648025666511,-0.154097976252059,0.001,"Otu0298"
"Otu0299",-0.394171017891474,-0.137992775842714,0.001,"Otu0299"
"Otu0323",0.45122199544119,0.0974845934232436,0.001,"Otu0323"
"Otu0351",0.433439133688675,0.171982234844695,0.001,"Otu0351"
"Otu0374",0.492700700436093,-0.169899401945802,0.001,"Otu0374"
"Otu0379",0.421258846175843,-0.159279491046862,0.001,"Otu0379"
"Otu0382",-0.410359794296858,-0.159428296500865,0.001,"Otu0382"
"Otu0408",-0.426203067087082,-0.14734470317908,0.001,"Otu0408"
"Otu0409",0.515290814279975,0.0979405181392094,0.001,"Otu0409"
"Otu0411",0.409974008080469,0.160237935973181,0.001,"Otu0411"
"Otu0414",0.563956635567579,-0.250959251017125,0.001,"Otu0414"
"Otu0451",-0.420723032682079,-0.144093000137261,0.001,"Otu0451"
"Otu0486",-0.416167500325165,-0.0334167976328922,0.001,"Otu0486"
"Otu0497",-0.441948250811802,0.216874196522036,0.001,"Otu0497"
"Otu0514",-0.464424464073774,-0.142418625372828,0.001,"Otu0514"
"Otu0549",-0.466237102597437,-0.169929077645487,0.001,"Otu0549"
"Otu0587",0.491487392422996,0.125529524615268,0.001,"Otu0587"
"Otu0600",-0.402931621827471,-0.142207325104352,0.001,"Otu0600"
"Otu0635",-0.336447361252322,-0.117351031385291,0.001,"Otu0635"
"Otu0656",-0.333115009315484,-0.137221122680086,0.001,"Otu0656"
"Otu0662",0.289461259905271,-0.360167118813742,0.001,"Otu0662"
"Otu0672",0.178646826676723,0.420900905834852,0.001,"Otu0672"
"Otu0678",0.393857622527453,0.0893256905858347,0.001,"Otu0678"
"Otu0689",-0.333628554643474,-0.119188589261855,0.001,"Otu0689"
"Otu0711",-0.443563765008876,-0.16667575489295,0.001,"Otu0711"
"Otu0718",-0.361303485478315,-0.126917593103907,0.001,"Otu0718"
"Otu0727",0.130401725648085,0.410972689023334,0.001,"Otu0727"
"Otu0749",0.457563095559765,0.102946802442396,0.001,"Otu0749"
"Otu0788",0.423762800170851,0.00975261522626819,0.001,"Otu0788"
"Otu0802",-0.341362957381868,-0.0386114744605093,0.001,"Otu0802"
"Otu0814",-0.465385003325139,-0.111867640760999,0.001,"Otu0814"
"Otu0817",-0.393524413917,-0.142744309573589,0.001,"Otu0817"
"Otu0841",-0.415721861099227,-0.156661724198674,0.001,"Otu0841"
"Otu0842",-0.397427110167121,-0.144476649119424,0.001,"Otu0842"
"Otu0927",-0.472864241929782,-0.203154183755846,0.001,"Otu0927"
"Otu1011",0.390895497330857,-0.293068701876033,0.001,"Otu1011"
"Otu1023",0.113214429268598,0.391597217499019,0.001,"Otu1023"
"Otu1032",0.384585940017256,-0.124402843888855,0.001,"Otu1032"
"Otu1060",-0.397544376290493,-0.161528080139465,0.001,"Otu1060"
"Otu1137",-0.475133148360628,-0.0154829765903413,0.001,"Otu1137"
"Otu1160",-0.291434089336488,-0.113136453289903,0.001,"Otu1160"
"Otu1183",-0.397882521311819,-0.154294747285727,0.001,"Otu1183"
"Otu1235",-0.435839002952092,-0.158991659299832,0.001,"Otu1235"
"Otu1237",-0.331442853012643,-0.13211721851654,0.001,"Otu1237"
"Otu1270",0.20465068995092,0.358732472051946,0.001,"Otu1270"
"Otu1303",-0.389034732175456,-0.123871443539795,0.001,"Otu1303"
"Otu1362",-0.393923175213402,-0.160577702846243,0.001,"Otu1362"
"Otu1483",0.204677520347507,-0.384359416764889,0.001,"Otu1483"
"Otu1500",0.225187986279444,-0.353616893841275,0.001,"Otu1500"
"Otu1560",-0.408544943417367,-0.163093012444288,0.001,"Otu1560"
"Otu1817",-0.398836946360829,-0.124824675368415,0.001,"Otu1817"
"Otu1898",0.0677961996992208,-0.439021937646034,0.001,"Otu1898"
"Otu1956",0.0220702195306138,-0.407930531045224,0.001,"Otu1956"
"Otu2291",-0.348089977617431,-0.161659481394992,0.001,"Otu2291"
"Otu2425",-0.289711879427998,-0.111778307363119,0.001,"Otu2425"
"Otu2757",-0.382659721467166,-0.176050431978527,0.001,"Otu2757"
"Otu3008",-0.386602270482546,-0.185618019901439,0.001,"Otu3008"
"Otu3189",-0.442344246038035,0.123547467454337,0.001,"Otu3189"
"Otu3295",0.319554403521819,-0.324218440997858,0.001,"Otu3295"
"Otu3541",-0.101659862501575,-0.50850498366937,0.001,"Otu3541"
"Otu3544",-0.385775049515115,-0.184910311501642,0.001,"Otu3544"
