Species;Morphospecies;Large_benthic_foraminifera;Genus;Family;Class;Order ;Phylum
Discanomalina coronata 18034;Discanomalina coronata;SBF;Discanomalina;Gavelinellidae;Globothalamea;Rotaliida;Foraminifera
Oridorsalis umbonatus 18653;Oridorsalis umbonatus ;SBF;Oridorsalis;Alabaminidae;Globothalamea;Rotaliida;Foraminifera
Micrometula sp. 17554;Micrometula sp. ;SBF;Micrometula;Allogromiidae;Monothalamea;Allogromiida;Foraminifera
Alveolinella quoyi;Alveolinella quoyi;LBF;Alveolinella;Alveolinidae;Tubothalamea;Miliolida;Foraminifera
Borelis schlumbergeri NBCLAB3737;Borelis schlumbergeri;LBF;Borelis;Alveolinidae;Tubothalamea;Miliolida;Foraminifera
Cribrostomoides sp. 17496;Cribrostomoides sp.;SBF;Cribrostomoides;Ammosphaeroidinidae;Globothalamea;Lituolida;Foraminifera
Amphistegina lessonii;Amphistegina lessonii;LBF;Amphistegina;Amphisteginidae;Globothalamea;Rotaliida;Foraminifera
Amphistegina lessonii NBCLAB5174;Amphistegina lessonii;LBF;Amphistegina;Amphisteginidae;Globothalamea;Rotaliida;Foraminifera
Amphistegina lobifera;Amphistegina lobifera;LBF;Amphistegina;Amphisteginidae;Globothalamea;Rotaliida;Foraminifera
Amphistegina papillosa Ambon;Amphistegina papillosa;LBF;Amphistegina;Amphisteginidae;Globothalamea;Rotaliida;Foraminifera
Amphistegina papillosa Spermonde NBCLAB3741;Amphistegina papillosa;LBF;Amphistegina;Amphisteginidae;Globothalamea;Rotaliida;Foraminifera
Amphistegina radiata;Amphistegina radiata;LBF;Amphistegina;Amphisteginidae;Globothalamea;Rotaliida;Foraminifera
Bolivina sp. 17601 & Bolivina sp. 17907;Bolivina sp.;SBF;Bolivina;Bolivinitidae;Globothalamea;Rotaliida;Foraminifera
Calcarina gaudichaudii;Calcarina gaudichaudii;LBF;Calcarina;Calcarinidae;Globothalamea;Rotaliida;Foraminifera
Calcarina hispida Ambon & Calcarina spengleri & Calcarina sp. NBCLAB5247;Calcarina hispida Ambon / Calcarina spengleri / Calcarina sp.1;LBF;Calcarina;Calcarinidae;Globothalamea;Rotaliida;Foraminifera
Calcarina hispida Spermonde & Calcarina sp. NBCLAB5163;Calcarina hispida Spermonde / Calcarina sp.2;LBF;Calcarina;Calcarinidae;Globothalamea;Rotaliida;Foraminifera
Calcarina sp. NBCLAB5164;Calcarina sp.3;LBF;Calcarina;Calcarinidae;Globothalamea;Rotaliida;Foraminifera
Calcarina sp. NBCLAB5165;Calcarina sp.4;LBF;Calcarina;Calcarinidae;Globothalamea;Rotaliida;Foraminifera
Calcarina sp. Spermonde;Calcarina sp.5;LBF;Calcarina;Calcarinidae;Globothalamea;Rotaliida;Foraminifera
Calcarina sp. Sumba 18664;Calcarina sp.6;LBF;Calcarina;Calcarinidae;Globothalamea;Rotaliida;Foraminifera
Neorotalia calcar;Neorotalia calcar;LBF;Neorotalia;Calcarinidae;Globothalamea;Rotaliida;Foraminifera
Neorotalia gaimardi & Baculogypsina sphaerulata;Neorotalia gaimardi / Baculogypsina sphaerulata;LBF;Neorotalia;Calcarinidae;Globothalamea;Rotaliida;Foraminifera
Cassidulinoides parkerianus 20889;Cassidulinoides parkerianus;SBF;Cassidulinoides;Cassidulinidae;Globothalamea;Rotaliida;Foraminifera
Globocassidulina biora 17225;Globocassidulina biora;SBF;Globocassidulina;Cassidulinidae;Globothalamea;Rotaliida;Foraminifera
Lobatula lobatula 17944;Lobatula lobatula;SBF;Lobatula;Cibicididae;Globothalamea;Rotaliida;Foraminifera
Lobatula wuellerstorfi 19688;Lobatula wuellerstorfi;SBF;Lobatula;Cibicididae;Globothalamea;Rotaliida;Foraminifera
Elphidium williamsoni 13170;Elphidium williamsoni;SBF;Elphidium;Elphidiidae;Globothalamea;Rotaliida;Foraminifera
Glabratella sp. 17918;Glabratella sp. ;SBF;Glabratella;Glabratellidae;Globothalamea;Rotaliida;Foraminifera
Glabratellina sp. 17921 & Planoglabratella opercularis 18053 & Planoglabratella sp.;Glabratellina sp. / Planoglabratella opercularis / Planoglabratella sp.;SBF;Glabratellina;Glabratellidae;Globothalamea;Rotaliida;Foraminifera
Orbulina universa;Orbulina universa;SBF;Orbulina;Globigerinidae;Globothalamea;Rotaliida;Foraminifera
Haynesina germanica 18209;Haynesina germanica;SBF;Haynesina;Haynesinidae;Globothalamea;Rotaliida;Foraminifera
Lacogromia cassipara 18990;Lacogromia cassipara;SBF;Lacogromia;Lacogromiidae;Monothalamea;Allogromiida;Foraminifera
Murrayinella globosa 18043;Murrayinella globosa;SBF;Murrayinella;Murrayinellidae;Globothalamea;Rotaliida;Foraminifera
Buccella frigida 6300;Buccella frigida;SBF;Buccella;Notorotaliidae;Globothalamea;Rotaliida;Foraminifera
Buccella peruviana 17572;Buccella peruviana;SBF;Buccella;Notorotaliidae;Globothalamea;Rotaliida;Foraminifera
Notorotalia finlayi 16463;Notorotalia finlayi;SBF;Notorotalia;Notorotaliidae;Globothalamea;Rotaliida;Foraminifera
Heterostegina depressa sp1;Heterostegina depressa;LBF;Heterostegina;Nummulitidae;Globothalamea;Rotaliida;Foraminifera
Heterostegina depressa sp2;Heterostegina depressa;LBF;Heterostegina;Nummulitidae;Globothalamea;Rotaliida;Foraminifera
Heterostegina depressa 14668;Heterostegina depressa;LBF;Heterostegina;Nummulitidae;Globothalamea;Rotaliida;Foraminifera
Neoassilina ammonoides 19231;Neoassilina ammonoides;SBF;Neoassilina;Nummulitidae;Globothalamea;Rotaliida;Foraminifera
