#Query ID	#Subject	#Subject accession	#Subject Taxonomy ID	#Identity percentage	#Coverage	#evalue	#bitscore	#Source	#Taxonomy
Otu0001	Borelis_schlumbergeri_NBCLAB3737	Borelis_schlumbergeri_NBCLAB3737	N/A	97.819	100	9.46e-159	548	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0002	Calcarina_gaudichaudii	Calcarina_gaudichaudii	N/A	100.000	100	1.32e-169	583	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0003	Haynesina_germanica_18209	Haynesina_germanica_18209	N/A	99.690	100	5.63e-168	579	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0004	Spiroplectammina_sp._12209	Spiroplectammina_sp._12209	N/A	97.097	96	4.62e-150	519	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0005	Heterostegina_depressa_sp1	Heterostegina_depressa_sp1	N/A	100.000	100	1.32e-169	583	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0006	Stainforthia_sp._17321	Stainforthia_sp._17321	N/A	99.690	100	5.63e-168	579	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0007	Borelis_schlumbergeri_NBCLAB3737	Borelis_schlumbergeri_NBCLAB3737	N/A	97.508	100	1.15e-157	544	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0008	Micrometula_sp._17554	Micrometula_sp._17554	N/A	89.524	98	3.33e-120	420	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0009	Peneroplis_sp2_&_Peneroplis_pertusus_NBCLAB5117_&_Dendritina_ambigua	Peneroplis_sp2_&_Peneroplis_pertusus_NBCLAB5117_&_Dendritina_ambigua	N/A	100.000	100	1.60e-168	580	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0010	Borelis_schlumbergeri_NBCLAB3737	Borelis_schlumbergeri_NBCLAB3737	N/A	94.393	100	4.30e-144	499	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0011	Borelis_schlumbergeri_NBCLAB3737	Borelis_schlumbergeri_NBCLAB3737	N/A	90.654	100	8.31e-128	444	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0012	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	N/A	100.000	100	1.32e-169	583	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
